Date,US
2/27/2020,1
2/28/2020,0
2/29/2020,1
3/1/2020,0
3/2/2020,5
3/3/2020,1
3/4/2020,4
3/5/2020,1
3/6/2020,2
3/7/2020,3
3/8/2020,4
3/9/2020,2
3/10/2020,5
3/11/2020,5
3/12/2020,11
3/13/2020,7
3/14/2020,9
3/15/2020,11
3/16/2020,25
3/17/2020,36
3/18/2020,65
3/19/2020,75
3/20/2020,105
3/21/2020,104
3/22/2020,121
3/23/2020,187
3/24/2020,243
3/25/2020,333
3/26/2020,417
3/27/2020,522
3/28/2020,713
3/29/2020,555
3/30/2020,707
3/31/2020,1079
4/1/2020,1252
4/2/2020,1531
4/3/2020,1420
4/4/2020,1603
4/5/2020,1616
4/6/2020,1742
4/7/2020,2576
4/8/2020,2150
4/9/2020,2214
4/10/2020,2187
4/11/2020,2136
4/12/2020,1889
4/13/2020,1985
4/14/2020,2473
4/15/2020,2598
4/16/2020,2183
4/17/2020,2095
4/18/2020,1946
4/19/2020,1980
4/20/2020,2245
4/21/2020,2482
4/22/2020,2467
4/23/2020,2414
4/24/2020,2169
4/25/2020,1734
4/26/2020,1406
4/27/2020,1480
4/28/2020,2244
4/29/2020,2392
4/30/2020,2191
5/1/2020,1908
5/2/2020,1743
5/3/2020,1203
5/4/2020,1358
5/5/2020,2221
5/6/2020,2322
5/7/2020,1915
5/8/2020,1771
5/9/2020,1466
5/10/2020,1000
5/11/2020,1035
