Date,data,median,LB,UB
2008,5538,5537.5,5537,5538
2009,5608,5257.594222,2600.357382,5676.381504
2010,5431,5407.923549,5109.803606,5653.101495
2011,5308,5366.471374,5110.450474,5610.999587
2012,5356,5324.795813,5067.46974,5561.95773
2013,5253,5279.228387,5036.324923,5516.030441
2014,5081,5235.908081,4995.293039,5462.948133
2015,5218,5187.708679,4959.759235,5424.16022
2016,5144,5139.997406,4901.877389,5375.57356
2017,5098,5082.960157,4844.885727,5339.343299
2018,4944,5035.381416,4790.964471,5304.673142
2019,4772,4977.00413,4718.549426,5276.428938
2020,4106,4926.80364,4653.815574,5262.259762
2021,4817,4877.639506,4585.966783,5219.111048
