Date,data,median,LB,UB
2008,5538,5537,5537,5537
2009,5608,2872.538145,2552.869402,6064.002922
2010,5431,5373.831449,5020.948073,5729.37113
2011,5308,5340.58348,5041.494484,5651.97794
2012,5356,5308.262937,5007.579344,5580.308319
2013,5253,5267.976991,4988.739881,5527.740455
2014,5081,5234.038025,4963.632049,5481.278424
2015,5218,5196.741045,4928.019639,5447.674996
2016,5144,5160.440774,4879.738037,5403.502676
2017,5098,5120.316536,4844.489409,5372.839083
2018,4944,5084.674862,4812.823617,5335.323095
2019,4772,5044.727699,4765.582158,5305.137162
2020,4106,5006.176555,4722.052123,5300.132252
2021,4817,4966.616982,4684.743946,5258.072436
