Date,data,median,LB,UB
2008,5538,5538,5538,5538
2009,5608,5457.623658,5221.777669,5670.056517
2010,5431,5427.50434,5223.191236,5626.019204
2011,5308,5386.138998,5186.67104,5587.664655
2012,5356,5340.63095,5135.255672,5542.319931
2013,5253,5288.03713,5089.823047,5494.968453
2014,5081,5235.514981,5031.74613,5431.312786
2015,5218,5177.140223,4976.640073,5377.295946
2016,5144,5119.819626,4914.591597,5326.166462
2017,5098,5053.328586,4849.955706,5271.795915
2018,4944,4993.010325,4777.436111,5217.769086
2019,4772,4924.743777,4692.31819,5169.805503
2020,4106,4864.354355,4626.451548,5125.112381
2021,4817,4795.786916,4537.605779,5073.544108
