"Date","data","median","LB","UB"
"2023-5-25",23,23,23,23
"2023-6-1",23,20.7454190637596,7.96150245572956,33.9598478775885
"2023-6-8",26,25.3897515603218,12.8656493145215,38.0630585798394
"2023-6-15",29,27.9136864512849,15.8069611736651,40.1017510233876
"2023-6-22",25,28.1446465571329,15.6418320171092,40.201998344703
"2023-6-29",20,25.8775970155769,13.6023851905658,38.1949616327856
"2023-7-6",32,22.3135757686632,10.5142385709554,34.238301288429
"2023-7-13",22,18.3550083696505,6.81980772348225,30.1796089094304
"2023-7-20",10,14.4293379478221,2.65953904130937,25.9769099831982
"2023-7-27",14,11.1641522427161,0,23.8095870996059
"2023-8-3",3,8.46262404629648,0,20.7850014069018
"2023-8-10",NA,6.39695201575864,0,18.7063018175666
"2023-8-17",NA,4.82337106980502,0,17.1907304137098
"2023-8-24",NA,3.66852671805979,0,16.0123994208549
"2023-8-31",NA,2.8042944147954,0,14.8186876848252
